account_number                bank_name                     balance                       operation                     
123456                        TD                            5000.0                        create_an_account             
123456                        TD                            5100.0                        deposit                       
123456                        TD                            4100.0                        withdraw                      
123456                        TD                            5232.754406250001             calculate_interest            
123456                        TD                            5332.754406250001             deposit                       
123456                        TD                            4332.754406250001             withdraw                      
123456                        TD                            5529.814563537512             calculate_interest            
123456                        TD                            5629.814563537512             deposit                       
123456                        TD                            4629.814563537512             withdraw                      
123456                        TD                            5908.9469652369135            calculate_interest            
